,studyno,version,survey,caseid,uniqid,countid,country,isocntry,phone,q1,q2_1,q2_2,q2_3,q2_4,q2b,q2c,q2d,q3,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q4_8,q4_9,q5,q6,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_8,q8_9,q8_10,q9,q10,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q11_8,q12,q13,q14,q15,q16,q17,q18_1,q18_2,q18_3,q19,q20,q21,q22,q23,vd1,d1r1,d1r2,d2,d3a_1,d3a_2,d3a_3,d3a_4,d3a_5,d3a_6,d3a_7,d3a_8,d3a_9,d3a_10,d3a_11,d3a_12,d3a_13,d3a_14,d3a_15,d3a_16,d3a_17,d3a_18,d3a_19,d3a_20,d3a_21,d3a_22,d3a_23,d3a_24,d3a_25,d3a_26,d3a_27,d3a_98,d3a_99,d3b_9,d3b_13,d3b_18,d3b_23,d3b_24,d3b_26,d3b_32,d3b_43,vd4,d4,d5,d5r,d12be,d12rbe,d12at,d12rat,d12bg,d12cy,d12cz,d12dk,d12ee,d12de,d12el,d12rel,d12es,d12res,d12fi,d12fr,d12rfr,d12uk,d12hu,d12ie,d12it,d12rit,d12lt,d12lu,d12lv,d12nl,d12rnl,d12pl,d12rpl,d12pt,d12ro,d12se,d12si,d12sk,d12mt,d12hr,d13,d18,d20,d18d20,vd22,d22,vbel,vden,vger,vgre,vspa,vfra,virl,vita,vlux,vnet,vaut,vpor,vfin,vswe,vuk,vcyr,vcz,vee,vhu,vlv,vlt,vmt,vpl,vsk,vsi,vbul,vro,vhr,veu6,veu9,veu10,veu12,veunew3,veu15,euzone13,nozone13,vnpm10,vnpm12,veu25,veu27,euzone15,nozone15,euzone16,nozone16,nzo17nms,euzone17,nozone17,w1,w5,w6,w7,w9,w10,w11,w13,w14,w22,w24,w29,w30,w81,w82,w89,w90,wex
3623,5798,1.0.0 (2013-07-12),367,31691,5031691,5,12,ES,2,2,2,4,1,1,1,3,3,2,4.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,4,3.0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,0,1,1,1,1,1,0,0,1,1,2,1,1,3,2.0,1.0,1.0,1,3,1,2,4,36,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,16,2,14,3.0,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0.9732,0.0,0.0,0.0,1.452649,0.0,1.721188,0.0,2.335986,2.381591,0.0,1.979728,0.0,2.089493,0.0,2.225323,0.0,38079.179688
3624,5798,1.0.0 (2013-07-12),367,31682,5031682,5,12,ES,2,3,1,1,1,1,2,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1.0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,2,2,2,1,1,3,4.0,1.0,1.0,1,3,1,2,4,60,4,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,14,1,17,4.0,,,,,,,,,,,,,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0.7068,0.0,0.0,0.0,1.055006,0.0,1.250037,0.0,1.696542,1.729663,0.0,1.437805,0.0,1.517523,0.0,1.616172,0.0,27655.533203
3625,5798,1.0.0 (2013-07-12),367,29617,5029617,5,12,ES,2,2,3,3,1,2,2,3,3,2,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1,3.0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1,1,0,1,0,1,0,0,2,3,3,1,1,3,2.0,1.0,2.0,4,3,1,2,2,42,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,26,3,8,2.0,,,,,,,,,,,,,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0.6801,0.0,0.0,0.0,1.015152,0.0,1.202816,0.0,1.632454,1.664324,0.0,1.383491,0.0,1.460197,0.0,1.555119,0.0,26610.820312
3626,5798,1.0.0 (2013-07-12),367,31684,5031684,5,12,ES,2,3,2,1,1,3,3,3,1,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3.0,2,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,0,1,0,0,1,0,0,2,2,2,1,2,3,2.0,1.0,1.0,2,1,1,2,3,51,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,14,1,17,4.0,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,2,1,1,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0.6337,0.0,0.0,0.0,0.945893,0.0,1.120753,0.0,1.521079,1.550775,0.0,1.289102,0.0,1.360575,0.0,1.449021,0.0,24795.289062
3627,5798,1.0.0 (2013-07-12),367,31814,5031814,5,12,ES,2,1,2,2,1,3,2,3,1,2,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4,1.0,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,4,3,1,1,1,1,1,1,0,0,2,3,4,1,1,4,1.0,1.0,2.0,2,3,1,2,3,23,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0,4,18,4.0,,,,,,,,,,,,,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1.3409,0.0,0.0,0.0,2.001497,0.0,2.371498,0.0,3.218582,3.281417,0.0,2.72772,0.0,2.878957,0.0,3.066107,0.0,52466.472656
3628,5798,1.0.0 (2013-07-12),367,31680,5031680,5,12,ES,2,4,2,1,1,3,3,3,1,4,5.0,2.0,1.0,5.0,1.0,1.0,2.0,4.0,3,1.0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,1,0,1,0,1,0,0,1,4,3,1,2,2,1.0,2.0,1.0,2,2,1,3,4,83,4,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,16,2,19,4.0,,,,,,,,,,,,,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1.5608,0.0,0.0,0.0,2.329731,0.0,2.76041,0.0,3.746411,3.819551,0.0,3.175051,0.0,3.35109,0.0,3.568931,0.0,61070.675781
3629,5798,1.0.0 (2013-07-12),367,31728,5031728,5,12,ES,2,1,2,1,1,3,3,3,1,1,3.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,1,3.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,2,3,2,1,2,3,1.0,1.0,1.0,2,3,1,1,1,40,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,14,1,20,4.0,,,,,,,,,,,,,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0.9158,0.0,0.0,0.0,1.366971,0.0,1.619671,0.0,2.198208,2.241123,0.0,1.862962,0.0,1.966253,0.0,2.094072,0.0,35833.242188
3630,5798,1.0.0 (2013-07-12),367,31945,5031945,5,12,ES,2,3,2,2,2,3,2,2,1,1,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,4,2.0,2,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,3,3,3,1,2,3,2.0,1.0,1.0,1,2,1,1,4,62,4,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,23,3,8,2.0,,,,,,,,,,,,,12.0,3.0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0.557,0.0,0.0,0.0,0.831407,0.0,0.985103,0.0,1.336975,1.363076,0.0,1.133075,0.0,1.195898,0.0,1.273638,0.0,21794.1875
3631,5798,1.0.0 (2013-07-12),367,31962,5031962,5,12,ES,2,1,2,2,2,3,2,2,1,1,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,4,2.0,3,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,1,0,1,0,1,0,0,1,3,3,1,1,3,1.0,1.0,1.0,3,2,1,1,1,40,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,22,3,11,2.0,,,,,,,,,,,,,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0.7302,0.0,0.0,0.0,1.089934,0.0,1.291422,0.0,1.75271,1.786927,0.0,1.485406,0.0,1.567764,0.0,1.669678,0.0,28571.123047
3632,5798,1.0.0 (2013-07-12),367,32023,5032023,5,12,ES,2,1,2,1,1,1,3,3,3,7,,,,,,,,,1,,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,2,3,3,1,2,4,1.0,1.0,1.0,1,2,1,1,1,54,3,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,14,1,17,4.0,,,,,,,,,,,,,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0.8591,0.0,0.0,0.0,1.282337,0.0,1.519393,0.0,2.06211,2.102368,0.0,1.747621,0.0,1.844516,0.0,1.964421,0.0,33614.695312
